generic_name,brand_name,drug_class,primary_fda_ind,other_fda_ind,available_strengths,moa,dosing_regimen,side_effects,boxed_warnings
Levothyroxine Sodium,"Synthroid®, Levoxyl®, Levothroid®",Hormone / Thyroid,Replacement therapy for reduced or absent thyroid function,,"25, 50, 75, 88, 100, 112, 125, 137, 150, 175, 200, 300 mcg","Unknown, synthetic form of the thyroid hormone, thyroxine (T4)",25 to 300 mcg po qday,"Fever, hypoglycemia, heart failure, fluid loss, tachycardia, anxiety, and insomnia",Weight reduction: should not be used for the treatment of obesity or for weight loss
Atorvastatin Calcium,Lipitor®,Antihyperlipidemic,Hypercholesterolemia,,"10, 20, 40, 80 mg","Selective, competitive inhibitor of HMG-CoA reductase to reduce TC, LDL, apoB, and TG levels and increase HDL",10 to 80 mg po qday,"Constipation, diarrhea, dyspepsia, flatulence, muscle pain",
Omeprazole,Prilosec®,Gastric Antisecretory,Duodenal ulcer,"Esophagitis, GERD","10, 20, 40 mg",Proton pump inhibitor that suppresses the H+/K+ ATPase enzyme system at the gastric parietal cells,20 mg po qday,"Back pain, cough, constipation, rash, and dizziness",
Losartan Potassium,Cozaar®,Antihypertensive,Hypertension,,"25, 50, 100 mg",Angiotensin II receptor blocker (ARB); block the vasoconstrictor and aldosterone-secreting effects of angiotensin II to the AT1 receptor,50 mg po qday,"Upper respiratory infection, diarrhea, dizziness, nasal congestion, and cough",DO NOT USE DURING PREGNANCY.
Amlodipine Besylate,Norvasc®,Antihypertensive,Hypertension,,"2.5, 5, 10 mg",Calcium channel blocker (CCB); inhibits the influx of Ca2+ ions across cellular membranes of vascular and cardiac tissue,10 mg po qday,"Edema, flushing, headache, fatigue, and abdominal pain",
Gabapentin,Neurontin®,Anticonvulsant/Antineuralgic,"Partial Seizures, Epilepsy",Postherpetic Neuralgia,"100, 300, 400, 600, 800 mg","Unknown, structurally related to the neurotransmitter GABA",900 to 1800 mg po per day in 3 divided doses,"Somnolence, dizziness, ataxia, fatigue, nystagmus, tremor, diplopia, rhinitis, blurred vision",
Lisinopril,"Prinivil®, Zestril®",Antihypertensive,Hypertension,,"2.5, 5, 10, 20, 30, 40 mg",ACE inhibitor; inhibits angiotensin-converting enzyme (ACE) to suppress the renin-angiotensin-aldosterone system (RAAS),20 to 40 mg po qday,"Dizziness, headache, fatigue, cough, and diarrhea",Fetal toxicity: can cause injury and death to the developing fetus
Metformin Hydrochloride,Glucophage® (XR),Antidiabetic,Diabetes,,"500, 850, 1000 mg; (XR) 500 mg, 750 mg","Biguanide, improves glucose tolerance, decreases intestinal absorption of glucose, suppresses hepatic gluconeogenesis, and improves insulin sensitivity",500 mg po bid or 850 mg po qam,"Decreased vitamin B12 absorption, LACTIC ACIDOSIS, diarrhea, vomiting, nausea, flatulence, anorexia, bloating, and an unpleasant metallic taste","LACTIC ACIDOSIS: risk factors include advanced age, use of radiological contrast, surgery, hypoxia, alcohol use, and hepatic impairment"
Sertraline Hydrochloride,Zoloft®,Antidepressant,"Depression, OCD",,"25, 50, 100 mg",Selective Serotonin Reuptake Inhibitors (SSRIs); inhibits CNS neuronal uptake of serotonin,50 mg po qday,"Nausea, diarrhea, dyspepsia, tremor, dizziness, insomnia, sweating, dry mouth, or male sexual dysfunction","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Escitalopram Oxalate,Lexapro®,Antidepressant,Depression,,"5, 10, 20 mg",Selective Serotonin Reuptake Inhibitors (SSRIs); inhibits CNS neuronal uptake of serotonin,10 to 20 mg po qday,"Nausea, somnolence, insomnia, diarrhea, ejaculation disorder, increased sweating, dizziness, and impotence.","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Furosemide,Lasix®,Diuretic,Edema from Congestive Heart Failure (CHF),Hypertension,"20, 40, 80 mg",Loop diuretic; Primarily inhibits reabsorption of sodium and chloride in the thick ascending loop of Henle,20 to 80 mg po per day in 1-2 doses,"Dizziness, orthostatic hypotension, dry mouth, HEARING LOSS, nausea, vomiting, WEAKNESS, MUSCLE CRAMPS, paresthesia, ANEMIA, photosensitivity, purpura, rash, and hyperglycemia","Fluid/electrolyte loss (oral solution, tablet): can lead to a profound diuresis with water and electrolyte depletion"
Trazodone Hydrochloride,Desyrel®,Antidepressant,Depression with or without anxiety,,"50, 100, 150, 300 mg",Serotonin receptor antagonists and reuptake inhibitors (SARIs)/Atypical antidepressant; inhibits serotonin uptake by brain synaptosomes,150 mg po per day in 1-2 doses,"Drowsiness, dry mouth, hypotension, dizziness, confusion, fatigue, headache, priapism, nausea, and vomiting","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Amphetamine and Dextroamphetamine Salts,Adderall® (XR),CNS Agent for ADHD,Narcolepsy ADHD,,"5, 7.5, 10, 12.5, 15, 20, 30 mg","Unknown, CNS stimulation by a direct action on adrenergic receptors, releasing norepinephrine",20 mg po qday,"Restlessness, dizziness, insomnia, euphoria, tremor, headache, palpitations, tachycardia, dry mouth, unpleasant taste, diarrhea, constipation, and anorexia",CNS STIMULANTS HAVE A HIGH POTENTIAL FOR ABUSE AND DEPENDENCE
Hydrocodone Bitartrate with Acetaminophen,"Lortab®, Vicodin®, Norco®",Opioid Analgesic,Pain,,"5/325, 7.5/325, 10/325 mg APAP",APAP: inhibits prostaglandin synthesis in the CNS and blocking pain impulse generation in the peripheral nervous system; Hydrocodone: produces central analgesia via action on the central opiate receptors,1 to 2 tab po q4-6 hours prn,"Dizziness, drowsiness, constipation, nausea, or vomiting","OPIOIDS CAN BE ADDICTIVE, ABUSED, AND MISUSED, WHICH CAN LEAD TO OVERDOSE AND DEATH. SERIOUS, LIFE-THREATENING RESPIRATORY DEPRESSION MAY OCCUR. ACCIDENTAL EXPOSURE CAN BE FATAL, ESPECIALLY IN CHILDREN. USE IN PREGNANCY CAN CAUSE NEONATAL WITHDRAWAL SYNDROME. CONCOMITANT USE WITH BENZODIAZEPINES, ALCOHOL, OR OTHER"
Famotidine,Pepcid®,Gastric Antisecretory,Duodenal ulcer,GERD,"20, 40 mg","Inhibits histamine at the H2-receptors, including on gastric cells",20 to 40 mg po qday,"Headache, dizziness, constipation, diarrhea, and transient irritation at the injection site",
Duloxetine Hydrochloride,Cymbalta®,Antidepressant,Depression,Neuropathic pain,"20, 30, 60 mg",Serotonin-norepinephrine reuptake inhibitors (SNRIs); inhibit neuronal serotonin and norepinephrine reuptake and weak inhibitor of dopamine reuptake,40 to 60 mg po per day in 1-2 doses,"Nausea, dry mouth, constipation, insomnia, dizziness, diarrhea, decreased appetite, fatigue, drowsiness, sweating, vomiting, blurred vision, and erectile dysfunction.","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Simvastatin,Zocor®,Antihyperlipidemic,Hypercholesterolemia,,"5, 10, 20, 40, 80 mg","Selective, competitive inhibitor of HMG-CoA reductase to reduce LDL and increase HDL",10 to 40 mg po qday,"Constipation, muscle pain, dyspepsia",
